编号,来源,家长昵称,联系方式,孩子年龄,使用系统,是否访问官网,是否下载,是否安装成功,是否注册,是否创建订单,订单号,是否付款,是否提交凭证,是否开通,是否完成第一个作品,主要阻塞,反馈摘要,下一步动作,负责人,最近跟进时间,备注
S001,,,,,,否,否,否,否,否,,否,否,否,否,,,,,,
S002,,,,,,否,否,否,否,否,,否,否,否,否,,,,,,
S003,,,,,,否,否,否,否,否,,否,否,否,否,,,,,,
S004,,,,,,否,否,否,否,否,,否,否,否,否,,,,,,
S005,,,,,,否,否,否,否,否,,否,否,否,否,,,,,,
S006,,,,,,否,否,否,否,否,,否,否,否,否,,,,,,
S007,,,,,,否,否,否,否,否,,否,否,否,否,,,,,,
S008,,,,,,否,否,否,否,否,,否,否,否,否,,,,,,
S009,,,,,,否,否,否,否,否,,否,否,否,否,,,,,,
S010,,,,,,否,否,否,否,否,,否,否,否,否,,,,,,
S011,,,,,,否,否,否,否,否,,否,否,否,否,,,,,,
S012,,,,,,否,否,否,否,否,,否,否,否,否,,,,,,
S013,,,,,,否,否,否,否,否,,否,否,否,否,,,,,,
S014,,,,,,否,否,否,否,否,,否,否,否,否,,,,,,
S015,,,,,,否,否,否,否,否,,否,否,否,否,,,,,,
S016,,,,,,否,否,否,否,否,,否,否,否,否,,,,,,
S017,,,,,,否,否,否,否,否,,否,否,否,否,,,,,,
S018,,,,,,否,否,否,否,否,,否,否,否,否,,,,,,
S019,,,,,,否,否,否,否,否,,否,否,否,否,,,,,,
S020,,,,,,否,否,否,否,否,,否,否,否,否,,,,,,
